@relation 'senti100 - 2class2 changed'

@attribute summary {'For the Price  Not too Shabby!','for the price.. this is a great phone','Great Phone  Great Price and Triple Minutes!!!','LG 800 w/Triple Mins.','Quite an enjoyable Phone/MP3 player','Needed a new phone','my 1st smartfone','LG 800G Prepaid Phone With Triple Minutes (Tracfone)','Smart Phone Alternative - Tracfone','Great phone for the price!','Nice touch screen for a tracphone.','Great phone for me!','lg 800g','great first phone','? about life of phone','My new LG800 Touch Screen Phone',PTL,'Budget Touchscreen Phone With Decent Features',Sweet,'Love it!','great phones','Best Tracfone Yet','trac phone','Great phone.','Shipping exceeded my expectations','Another Tracfone upgrade',LG800g,'LG 800G Prepaid phone with triple minutes (Tracfone)','Tracfone upgrade','Super value for a basic touchscreen phone','Good deal','a good value','Good value','Good start but then..','I love it!','Good phone for the price','Good price for a good phone!','does the job','Okay for he price ',mhm,'Not a smart phone but a close second','LOVE THIS LITTLE PHONE','Great phone for $15!','Perfect first phone for all ages.','SAVE MONEY','Great Phone with good features','nice semi smart phone','Fun phone','Excellent phone for the money','nice phone','Great price for a tracfone!','prepaid pahone','a great replace for a poor tracfone.','Surprising features for a no contract phone','phone seems fine - Tracfone makes it impossible to activate','Stay away  stay FAR away.','Lacks Endurance','50/50 shot at a good one','Biggest Problem','A terrible purchase','TEXTING SUCKS SUCKS and SUCKS.  (AND INTERNET TOO.)','Triple minute phone','touch screen worthless','I kind of like it.','Save your money',annoying,'Decent Phone','frustrating phone  LG 800g tracfone','pretty good..',frustration,'Not enough insturction','Generous use of the term   Smartphone ','I am sorry didn t return it in 30 days...','Worst phone ever!','Tracfone admits autolock problem and no solution',terrible,'Great phone for gandpa','Bad Phone','Cheap cheap cheap','Decent phone.','Hope this doesn t happen to everyone.','ok phone but dont waste your money','Tracfone slidescreen','Plusses & Minuses','Phone has a glitch - BEWARE!','its okay','I hate this phone!!!!','Very difficult to utilize features','This phone is okay.'}
@attribute 'Voice mail' numeric
@attribute mp3 numeric
@attribute touch numeric
@attribute tracfone numeric
@attribute android numeric
@attribute keyboard numeric
@attribute memory numeric
@attribute 'sd card' numeric
@attribute bluetooth numeric
@attribute text numeric
@attribute rating {Good,Poor}

@data
'For the Price  Not too Shabby!',0,0,0,0.500563,0,0,0,0,0,0,Good
'for the price.. this is a great phone',0,0,-0.339596,0,0,0,0,0,0,0,Poor
'Great Phone  Great Price and Triple Minutes!!!',-0.297974,0,0,0,0,0,0,0,0,0,Good
'LG 800 w/Triple Mins.',0,0,0.538842,0,0,0,0,0,0,0,Good
'Quite an enjoyable Phone/MP3 player',0,0.706329,0,0,0,0,0,0,0,0,Good
'Needed a new phone',0,0,0.3249,0,0,0,0,0,0,0,Good
'my 1st smartfone',0,0,0.791201,0.791201,0,0,0,0,0,0,Good
'LG 800G Prepaid Phone With Triple Minutes (Tracfone)',0,0,0,0.607376,0,0,0,0,0,0,Good
'Smart Phone Alternative - Tracfone',0,0.477885,0,0.477885,0,0,0,0,0.477885,0,Good
'Great phone for the price!',0,0,0,0.608877,0,0,0,0,0,-0.288986,Good
'Nice touch screen for a tracphone.',0,0,0.204417,0,0,0.224161,0,0,0,-0.235764,Good
'Great phone for me!',0,0,0,0,0,0,0.72599,0.72599,0,0,Good
'lg 800g',0,0.372698,0,0,0,0,0,0,0,0,Good
'lg 800g',0,0.372698,0,0,0,0,0,0,0,0,Good
'great first phone',0,0,0.825328,0,0,0,0,0,0,0,Good
'? about life of phone',0,0,0,0,0,0,0,0,0,-0.827302,Poor
'My new LG800 Touch Screen Phone',0,0,0.366169,0,0,0,0,0,0,0,Good
PTL,0,0,0.917101,0,0,0,0,0,0,0,Good
'Budget Touchscreen Phone With Decent Features',0,0.715151,0,0.715151,0,0,0,0,0,0,Good
Sweet,0,0,0.889105,0,0,0,0,0,0,0,Good
'Love it!',0,0,0.870777,0,0,0,0,0,0,0,Good
'Love it!',0,0,0.870777,0,0,0,0,0,0,0,Good
'great phones',0,0,0,-0.2584,0,0,0,0,0,0,Good
'Best Tracfone Yet',0,0.679504,0.679504,0,0,0,0.679504,0.679504,0,0,Good
'LG 800G Prepaid Phone With Triple Minutes (Tracfone)',0,0,0.786948,0,0,0,0,0,0,0,Good
'trac phone',0,0,0.968535,0,0,0,0,0,0,0,Good
'Great phone.',0,0,-0.32694,0,0,0,0.696802,0.696802,0,0,Good
